monthly_income,monthly_expenditure
0,4
10,7
20,10
30,15
40,18
50,23
60,27
70,31
80,37
90,39
100,44
110,52
120,54
130,59
140,64
150,68
160,72
170,78
180,82
190,85
200,91
210,95
220,101
230,108
240,100
250,112
260,125
270,121
280,113
290,128
300,144
310,132
320,131
330,137
340,166
350,134
360,171
370,181
380,188
390,215
400,167
410,106
420,198
430,175
440,192
450,208
460,145
470,135
480,228
490,237
500,246
510,250
